iter	TotalF1:average=Macro	MultiClass
805	0.5500629217	0.9134489061
806	0.5500764293	0.9134040213
807	0.54999545	0.9133736262
808	0.5499831971	0.9133390858
809	0.5499829209	0.9133137323
810	0.5500632158	0.9132797266
811	0.5500103998	0.9132229734
812	0.5501376161	0.9131921132
813	0.5501798889	0.9131662511
814	0.5501504972	0.913127513
815	0.5501501755	0.9130901886
816	0.5502213649	0.9130579705
817	0.5501211721	0.9130264512
818	0.5501776223	0.9129977921
819	0.5502008788	0.912971462
820	0.5502464933	0.9129495727
821	0.550211846	0.9129345422
822	0.5501653745	0.9129039563
823	0.5502147929	0.9128709613
824	0.5504411334	0.9128333867
825	0.5503213551	0.9128051597
826	0.5502986321	0.9127742515
827	0.5502734232	0.9127565461
828	0.5502238535	0.9127212627
829	0.550331427	0.9126882491
830	0.5503912322	0.912660283
831	0.5502827839	0.9126203642
832	0.5503803517	0.9125813252
833	0.5504289953	0.9125634713
834	0.5503065914	0.9125223978
835	0.5502828024	0.9124728049
836	0.5503200092	0.9124240504
837	0.5503465057	0.9123871663
838	0.5503512928	0.9123477134
839	0.5503092213	0.9123115299
840	0.5504410439	0.912261515
841	0.5504381291	0.9122202009
842	0.5504466286	0.9121890376
843	0.5504071635	0.9121504658
844	0.5505028031	0.9121226735
845	0.5504621869	0.9120888468
846	0.5504202318	0.9120633125
847	0.5504246345	0.9120325848
848	0.5504871341	0.9119869951
849	0.5505984428	0.9119546788
850	0.5506296862	0.9119312067
851	0.5507132174	0.9118933837
852	0.5507260834	0.9118619292
853	0.5506943825	0.9118251099
854	0.5506728993	0.9117876663
855	0.5506697254	0.9117624097
856	0.5507180478	0.9117353789
857	0.5507054046	0.9117063665
858	0.5506592279	0.9116924357
859	0.5506663225	0.9116583338
860	0.5507823445	0.9116177846
861	0.5507982788	0.9115830909
862	0.551009928	0.911537628
863	0.5510182029	0.9115219422
864	0.5510201343	0.9114940477
865	0.5510159804	0.9114678386
866	0.5511661502	0.9114221914
867	0.5511777568	0.9114013273
868	0.5511077834	0.9113813704
869	0.5510265987	0.911347069
870	0.5511024306	0.9113177901
871	0.5511229588	0.9112938619
872	0.5510166111	0.9112713122
873	0.5510242998	0.9112535848
874	0.5511267722	0.9112025742
875	0.5511297223	0.9111730883
876	0.5511376237	0.9111457842
877	0.5509513335	0.9111091019
878	0.5511314995	0.9110757503
